id,name,operator,day_relevance,route_segment,route_class,address,latitude_gcj02,longitude_gcj02,latitude_wgs84,longitude_wgs84,coordinate_precision,anchor_distance_m,status,piles,connectors,power_kw,source_url_1,source_url_2,notes,last_checked,overlay_quality,verification_tier
QCS-01,小鹏充电站(目充-成都青城山青暇山居野奢度假酒店站),小鹏/目充,"1,2",青城山出发区,direct,都江堰市青城山镇,30.8472729,103.546902,30.8498898,103.5448475,Baidu search-area anchor; exact bearing not exposed,784,listed,,,,https://map.baidu.com/mobile/webapp/place/list/qt%3Ds%26wd%3D%E4%BA%A4%E9%80%9A%E8%AE%BE%E6%96%BD%26c%3D75%26nb_x%3D11527630.273993%26nb_y%3D3591625.5099788%26center_rank%3D1/center_name%3D%E5%9B%9B%E5%B7%9D%E7%9C%81%E6%88%90%E9%83%BD%E5%B8%82%E9%83%BD%E6%B1%9F%E5%A0%B0%E5%B8%82%E9%9D%92%E5%9F%8E%E5%B1%B1%E9%95%87/,,Pin is a cluster anchor; use source/map search for final navigation.,2026-09-16,approx,C
QCS-02,新电途充电站(忘忧河畔快充站),新电途,"1,2",青城山出发区,direct,都江堰市青城山镇,30.8472729,103.546902,30.8498898,103.5448475,Baidu search-area anchor; exact bearing not exposed,961,listed,,,,https://map.baidu.com/mobile/webapp/place/list/qt%3Ds%26wd%3D%E4%BA%A4%E9%80%9A%E8%AE%BE%E6%96%BD%26c%3D75%26nb_x%3D11527630.273993%26nb_y%3D3591625.5099788%26center_rank%3D1/center_name%3D%E5%9B%9B%E5%B7%9D%E7%9C%81%E6%88%90%E9%83%BD%E5%B8%82%E9%83%BD%E6%B1%9F%E5%A0%B0%E5%B8%82%E9%9D%92%E5%9F%8E%E5%B1%B1%E9%95%87/,,Pin is a cluster anchor; use source/map search for final navigation.,2026-09-16,approx,C
QCS-03,快鳗都江堰茶坪社区公共停车场充电站,快鳗,"1,2",青城山出发区,direct,都江堰市青城山镇,30.8472729,103.546902,30.8498898,103.5448475,Baidu search-area anchor; exact bearing not exposed,1100,listed,,,,https://map.baidu.com/mobile/webapp/place/list/qt%3Ds%26wd%3D%E4%BA%A4%E9%80%9A%E8%AE%BE%E6%96%BD%26c%3D75%26nb_x%3D11527630.273993%26nb_y%3D3591625.5099788%26center_rank%3D1/center_name%3D%E5%9B%9B%E5%B7%9D%E7%9C%81%E6%88%90%E9%83%BD%E5%B8%82%E9%83%BD%E6%B1%9F%E5%A0%B0%E5%B8%82%E9%9D%92%E5%9F%8E%E5%B1%B1%E9%95%87/,,Pin is a cluster anchor; use source/map search for final navigation.,2026-09-16,approx,C
TQ-01,雅康高速天全服务区新能源充电区,蜀道/多运营商,2,青城山 → 天全 → 磨西,direct,G4218雅康高速 天全服务区（K41+975，两侧）,30.029251,102.738198,30.0319582,102.7365601,AMap service-area landmark anchor (Starbucks east-area coordinate),,operational; expanded 2023,16 devices,38 simultaneous vehicles,4 liquid-cooled supercharge devices; exact kW varies,https://epaper.scdaily.cn/shtml/scrb/20240202/1010563.shtml,https://www.amap.com/place/B0LU3OAIJ0,四川日报称2023年新增16台设备，可满足38辆车同时充电，其中4台为全液冷超充。,2026-09-16,site,B
HLG-01,川能充电站(海螺沟未见山客栈千途站),川能/千途,"2,3",磨西 / 海螺沟,direct,泸定县磨西镇 / S434榆磨路附近,29.6390846,102.1289129,29.6416617,102.1271446,Baidu search-area anchor; station is listed at stated distance from anchor,26,listed,,,,https://map.baidu.com/mobile/webapp/place/list/qt%3Ds%26wd%3D%E4%BA%A4%E9%80%9A%E8%AE%BE%E6%96%BD%26c%3D73%26nb_x%3D11369776.941036%26nb_y%3D3436716.6819987%26center_rank%3D1/center_name%3D%E5%9B%9B%E5%B7%9D%E7%9C%81%E7%94%98%E5%AD%9C%E8%97%8F%E6%97%8F%E8%87%AA%E6%B2%BB%E5%B7%9E%E6%B3%B8%E5%AE%9A%E5%8E%BFS434%28%E6%A6%86%E7%A3%A8%E8%B7%AF%29/,https://m.ctrip.com/html5/hotel/hoteldetail/66447825.html,Pin is an approximate cluster anchor. Ctrip also lists charging at 海螺沟未见山客栈.,2026-09-16,approx,C
HLG-02,蔚景云充电站(磨西古镇凡尘客栈),蔚景云,"2,3",磨西 / 海螺沟,direct,泸定县磨西镇 / S434榆磨路附近,29.6390846,102.1289129,29.6416617,102.1271446,Baidu search-area anchor; station is listed at stated distance from anchor,44,listed,,,,https://map.baidu.com/mobile/webapp/place/list/qt%3Ds%26wd%3D%E4%BA%A4%E9%80%9A%E8%AE%BE%E6%96%BD%26c%3D73%26nb_x%3D11369776.941036%26nb_y%3D3436716.6819987%26center_rank%3D1/center_name%3D%E5%9B%9B%E5%B7%9D%E7%9C%81%E7%94%98%E5%AD%9C%E8%97%8F%E6%97%8F%E8%87%AA%E6%B2%BB%E5%B7%9E%E6%B3%B8%E5%AE%9A%E5%8E%BFS434%28%E6%A6%86%E7%A3%A8%E8%B7%AF%29/,,Pin is an approximate cluster anchor.,2026-09-16,approx,C
HLG-03,快电充电站(磨西古镇凡尘客栈),快电,"2,3",磨西 / 海螺沟,direct,泸定县磨西镇 / S434榆磨路附近,29.6390846,102.1289129,29.6416617,102.1271446,Baidu search-area anchor; station is listed at stated distance from anchor,44,listed,,,,https://map.baidu.com/mobile/webapp/place/list/qt%3Ds%26wd%3D%E4%BA%A4%E9%80%9A%E8%AE%BE%E6%96%BD%26c%3D73%26nb_x%3D11369776.941036%26nb_y%3D3436716.6819987%26center_rank%3D1/center_name%3D%E5%9B%9B%E5%B7%9D%E7%9C%81%E7%94%98%E5%AD%9C%E8%97%8F%E6%97%8F%E8%87%AA%E6%B2%BB%E5%B7%9E%E6%B3%B8%E5%AE%9A%E5%8E%BFS434%28%E6%A6%86%E7%A3%A8%E8%B7%AF%29/,,Pin is an approximate cluster anchor. May be a second platform listing for the same physical site as HLG-02; verify.,2026-09-16,approx,C
HLG-04,海螺沟小镇小筑民宿充电站,独立/民宿,"2,3",磨西 / 海螺沟,direct,泸定县磨西镇 / S434榆磨路附近,29.6390846,102.1289129,29.6416617,102.1271446,Baidu search-area anchor; station is listed at stated distance from anchor,93,listed,,,,https://map.baidu.com/mobile/webapp/place/list/qt%3Ds%26wd%3D%E4%BA%A4%E9%80%9A%E8%AE%BE%E6%96%BD%26c%3D73%26nb_x%3D11369776.941036%26nb_y%3D3436716.6819987%26center_rank%3D1/center_name%3D%E5%9B%9B%E5%B7%9D%E7%9C%81%E7%94%98%E5%AD%9C%E8%97%8F%E6%97%8F%E8%87%AA%E6%B2%BB%E5%B7%9E%E6%B3%B8%E5%AE%9A%E5%8E%BFS434%28%E6%A6%86%E7%A3%A8%E8%B7%AF%29/,,Pin is an approximate cluster anchor.,2026-09-16,approx,C
HLG-05,蔚景云充电站(海螺沟钰海山居民宿),蔚景云,"2,3",磨西 / 海螺沟,direct,泸定县磨西镇 / S434榆磨路附近,29.6390846,102.1289129,29.6416617,102.1271446,Baidu search-area anchor; station is listed at stated distance from anchor,150,listed,,,,https://map.baidu.com/mobile/webapp/place/list/qt%3Ds%26wd%3D%E4%BA%A4%E9%80%9A%E8%AE%BE%E6%96%BD%26c%3D73%26nb_x%3D11369776.941036%26nb_y%3D3436716.6819987%26center_rank%3D1/center_name%3D%E5%9B%9B%E5%B7%9D%E7%9C%81%E7%94%98%E5%AD%9C%E8%97%8F%E6%97%8F%E8%87%AA%E6%B2%BB%E5%B7%9E%E6%B3%B8%E5%AE%9A%E5%8E%BFS434%28%E6%A6%86%E7%A3%A8%E8%B7%AF%29/,,Pin is an approximate cluster anchor.,2026-09-16,approx,C
HLG-06,华盛充电站,华盛,"2,3",磨西 / 海螺沟,direct,泸定县磨西镇 / S434榆磨路附近,29.6390846,102.1289129,29.6416617,102.1271446,Baidu search-area anchor; station is listed at stated distance from anchor,280,listed,,,,https://map.baidu.com/mobile/webapp/place/list/qt%3Ds%26wd%3D%E4%BA%A4%E9%80%9A%E8%AE%BE%E6%96%BD%26c%3D73%26nb_x%3D11369776.941036%26nb_y%3D3436716.6819987%26center_rank%3D1/center_name%3D%E5%9B%9B%E5%B7%9D%E7%9C%81%E7%94%98%E5%AD%9C%E8%97%8F%E6%97%8F%E8%87%AA%E6%B2%BB%E5%B7%9E%E6%B3%B8%E5%AE%9A%E5%8E%BFS434%28%E6%A6%86%E7%A3%A8%E8%B7%AF%29/,,Pin is an approximate cluster anchor.,2026-09-16,approx,C
