"route","charger_id","name","tier","along_route_km","offset_straight_line_km","candidate_default_2km","reason","position_kind"
"1","QCS-01","小鹏充电站(目充-成都青城山青暇山居野奢度假酒店站)","C","73.059","6.532","false","Area estimate only","area_anchor"
"1","QCS-02","新电途充电站(忘忧河畔快充站)","C","73.059","6.532","false","Area estimate only","area_anchor"
"1","QCS-03","快鳗都江堰茶坪社区公共停车场充电站","C","73.059","6.532","false","Area estimate only","area_anchor"
"2","QCS-01","小鹏充电站(目充-成都青城山青暇山居野奢度假酒店站)","C","6.517","4.293","false","Area estimate only","area_anchor"
"2","QCS-02","新电途充电站(忘忧河畔快充站)","C","6.517","4.293","false","Area estimate only","area_anchor"
"2","QCS-03","快鳗都江堰茶坪社区公共停车场充电站","C","6.517","4.293","false","Area estimate only","area_anchor"
"2","TQ-01","雅康高速天全服务区新能源充电区","B","204.909","0.030","true","","site_or_exact"
"2","HLG-01","川能充电站(海螺沟未见山客栈千途站)","C","324.191","0.027","false","Area estimate only","area_anchor"
"2","HLG-02","蔚景云充电站(磨西古镇凡尘客栈)","C","324.191","0.027","false","Area estimate only","area_anchor"
"2","HLG-03","快电充电站(磨西古镇凡尘客栈)","C","324.191","0.027","false","Area estimate only","area_anchor"
"2","HLG-04","海螺沟小镇小筑民宿充电站","C","324.191","0.027","false","Area estimate only","area_anchor"
"2","HLG-05","蔚景云充电站(海螺沟钰海山居民宿)","C","324.191","0.027","false","Area estimate only","area_anchor"
"2","HLG-06","华盛充电站","C","324.191","0.027","false","Area estimate only","area_anchor"
"2","HLG-07","云快充充电站(德曲林卡庄园充电站)","C","324.191","0.027","false","Area estimate only","area_anchor"
"3","HLG-01","川能充电站(海螺沟未见山客栈千途站)","C","0.000","0.027","false","Area estimate only","area_anchor"
"3","HLG-02","蔚景云充电站(磨西古镇凡尘客栈)","C","0.000","0.027","false","Area estimate only","area_anchor"
"3","HLG-03","快电充电站(磨西古镇凡尘客栈)","C","0.000","0.027","false","Area estimate only","area_anchor"
"3","HLG-04","海螺沟小镇小筑民宿充电站","C","0.000","0.027","false","Area estimate only","area_anchor"
"3","HLG-05","蔚景云充电站(海螺沟钰海山居民宿)","C","0.000","0.027","false","Area estimate only","area_anchor"
"3","HLG-06","华盛充电站","C","0.000","0.027","false","Area estimate only","area_anchor"
"3","HLG-07","云快充充电站(德曲林卡庄园充电站)","C","0.000","0.027","false","Area estimate only","area_anchor"
"3","KD-01","康定驿站集中式（超级快充）充电站","C","93.040","0.004","false","Area estimate only","area_anchor"
"3","KD-02","四川省甘孜州康定市新客运站/新城公交公共充电站","B","95.076","0.324","true","","site_or_exact"
"3","KD-03","木格措景区充电站","B","97.685","14.157","false","Outside corridor","site_or_exact"
"3","KD-05","蔚景云汽车充电站(雪立方慢充站)","A","99.124","0.171","true","","site_or_exact"
"3","XDB-01","特斯拉超级充电站(新都桥黑青稞庄园)","A","157.362","22.483","false","Outside corridor","site_or_exact"
"3","XDB-02","国家电网充电站(甘孜州康定市新都桥国道G318川藏线超充站)","C","166.320","23.213","false","Area estimate only","area_anchor"
"3","XDB-03","新都桥东蓉酒店星星超充站","C","166.320","23.213","false","Area estimate only","area_anchor"
"3","TG-01","华哲新能源塔公乡雪山之恋酒店超充站","C","191.827","1.249","false","Area estimate only","area_anchor"
"3","TG-02","从此益后塔公草原曼达拉大酒店快充站","C","191.827","1.249","false","Area estimate only","area_anchor"
"3","TG-03","从此益后塔公观景别苑酒店快充站","C","191.827","1.249","false","Area estimate only","area_anchor"
"3","TG-04","塔公草原景区大功率充电站项目","C","191.827","1.249","false","Area estimate only","area_anchor"
"3","KD-04","愉秒充折多山全液冷超充站","D","","","false","No coordinate","unlocated"
"3","KD-06","特斯拉超级充电站(康定新城广场)","D","","","false","No coordinate","unlocated"
"4","TG-01","华哲新能源塔公乡雪山之恋酒店超充站","C","0.000","1.249","false","Area estimate only","area_anchor"
"4","TG-02","从此益后塔公草原曼达拉大酒店快充站","C","0.000","1.249","false","Area estimate only","area_anchor"
"4","TG-03","从此益后塔公观景别苑酒店快充站","C","0.000","1.249","false","Area estimate only","area_anchor"
"4","TG-04","塔公草原景区大功率充电站项目","C","0.000","1.249","false","Area estimate only","area_anchor"
"4","XDB-02","国家电网充电站(甘孜州康定市新都桥国道G318川藏线超充站)","C","25.506","23.213","false","Area estimate only","area_anchor"
"4","XDB-03","新都桥东蓉酒店星星超充站","C","25.506","23.213","false","Area estimate only","area_anchor"
"4","XDB-01","特斯拉超级充电站(新都桥黑青稞庄园)","A","34.464","22.483","false","Outside corridor","site_or_exact"
"4","KD-03","木格措景区充电站","B","91.731","0.731","true","","site_or_exact"
"4","KD-05","蔚景云汽车充电站(雪立方慢充站)","A","109.502","0.817","true","","site_or_exact"
"4","KD-02","四川省甘孜州康定市新客运站/新城公交公共充电站","B","110.971","0.324","true","","site_or_exact"
"4","KD-01","康定驿站集中式（超级快充）充电站","C","112.548","0.004","false","Area estimate only","area_anchor"
"4","YA-01","方程豹雅安天佛4S店（行程指定兆瓦闪充体验）","B","232.420","0.033","true","","site_or_exact"
"4","KD-04","愉秒充折多山全液冷超充站","D","","","false","No coordinate","unlocated"
"4","KD-06","特斯拉超级充电站(康定新城广场)","D","","","false","No coordinate","unlocated"
